p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene
4.564487771461386e-8	-4.338707967235859	0.364	0.986	8.817221028131959e-4	Rims2
4.894901775294792e-8	2.0020579212148117	1	0.517	9.45548175933695e-4	Sparc
5.015994642993406e-8	1.0396764555656288	0.364	0.024	9.689396851870363e-4	Epha2
5.025522814376232e-8	-4.2663699816373875	0.273	0.986	9.707802420530567e-4	Celf4
5.074557423215832e-8	-5.6763788146427725	0	0.976	9.802522574426022e-4	Fgf12
5.1888910571116736e-8	1.2848954240551462	0.545	0.063	0.001002338085502262	Myl9
5.360973619207401e-8	1.66050317847378	0.909	0.193	0.0010355792740222936	Jam3
5.778075760599127e-8	1.26607846912525	1	0.986	0.0011161508946749333	Eef1d
5.9347379970398896e-8	1.5028314793957158	1	0.961	0.0011464133388881955	Mrpl12
6.097818385957533e-8	1.4864639897742384	1	0.957	0.0011779155776154165	Cdv3
6.27390948558083e-8	1.5408407069024599	1	1	0.001211931095329649	Ldha
6.329032618228652e-8	1.9575771233580812	1	0.638	0.0012225792308632286	Gcsh
6.371555838597499e-8	0.6801142462805672	0.364	0.024	0.0012307934413418788	Glis1
6.371555838597499e-8	0.8047871598514331	0.364	0.024	0.0012307934413418788	Slc8b1
6.701457997169738e-8	-4.20813400180192	0.364	0.976	0.0012945206413132783	Bex2
6.795316011786127e-8	2.0233129224652364	1	0.676	0.0013126511939967262	Tcof1
6.81061953284289e-8	-2.2407642903841554	1	1	0.0013156073751592612	Ddc
6.904231677408628e-8	-2.970703303733836	0.909	0.995	0.0013336904331250248	Cystm1
6.965226645079207e-8	-4.536249094084202	0.182	0.971	0.0013454728310299503	Cd24a
6.992331146106977e-8	1.1498040370576874	0.455	0.043	0.0013507086074934847	Gm17056
7.065188164268882e-8	2.444544158968058	1	0.686	0.00136478239769182	Gclc
7.240191678192996e-8	1.8675667081331901	0.818	0.188	0.001398587826476541	Fgfr1
7.702265270262058e-8	1.668868091238279	1	0.899	0.0014878465822565216	Ddx21
7.942164210008907e-8	-5.017520822207487	0	0.961	0.0015341878604474206	Pkib
7.949167978954472e-8	1.0652299185796115	0.455	0.043	0.0015355407784946355	Rnd1
8.457110283702452e-8	2.0820507788896725	1	0.28	0.0016336599935028026	Ptprg
8.768835000872114e-8	-4.869574826229192	0.182	0.966	0.0016938758571184663	Cadps2
8.866463670669991e-8	-4.453414670265682	0.091	0.961	0.0017127347872633223	Snap25
8.903103698777165e-8	1.6800090855111698	1	0.865	0.0017198125414927849	Cnih4
9.205822849351469e-8	-6.218577637138534	0	0.957	0.0017782887998092232	Fgf14
9.264262113271222e-8	1.1780659862921747	0.909	0.169	0.001789577512420602	Poglut3
9.69633091770588e-8	1.008732144083917	1	1	0.001873040243373245	Set
1.0038282090563844e-7	1.5179435822691516	1	0.845	0.0019390949514342178	Mybbp1a
1.0038282090563844e-7	1.654295043501841	1	0.845	0.0019390949514342178	Nsun2
1.0114086536160194e-7	1.6181654102102436	1	0.261	0.0019537380961900646	Rbm19
1.0656454470266946e-7	-2.7801793953697835	0.909	0.995	0.0020585073100214657	Reep5
1.0775061365273441e-7	1.488913740906899	1	0.942	0.0020814186039298708	Mrto4
