p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Gene
4.5508408137107166e-9	-0.5334336146798617	1	1	8.790859199844991e-5	Anp32b
4.573261241582366e-9	-3.0058105288302697	0.024	0.28	8.834168740364655e-5	Gxylt2
4.650304278199048e-9	2.2271911942972347	0.47	0	8.982992774197101e-5	Atp2a3
4.650304278199048e-9	2.236150900943337	0.47	0	8.982992774197101e-5	Eppk1
4.655364829870813e-9	-1.2162022218107977	0.345	0.8	8.992768241861449e-5	Bach2
4.840490441326494e-9	-2.1488166979948815	0.292	0.66	9.350375385510389e-5	Syn3
5.306150192892405e-9	0.563078191510527	1	1	1.0249890327610258e-4	Bsg
5.553027054826342e-9	-2.5802578469367443	0.018	0.26	1.0726782361808045e-4	Asic2
5.622002649536911e-9	-1.256575275382845	0.071	0.4	1.0860022518110451e-4	Fjx1
5.646400682335318e-9	2.62400217475523	0.524	0.04	1.0907152198067135e-4	Csgalnact1
5.727728698199238e-9	-1.166821718735333	0.077	0.42	1.1064253526311469e-4	Tnfrsf19
5.770144961719782e-9	0.9564548812069735	0.982	0.94	1.1146189022554104e-4	Rapgef4
5.770960977034042e-9	-1.3176543804809535	0.292	0.72	1.1147765319336659e-4	Clcn5
5.8164729194120405e-9	-0.543918864739457	1	1	1.1235680738428239e-4	Hmgn1
5.906044849373481e-9	0.4551169051938846	1	1	1.1408706835534754e-4	Eef1a1
5.9351058818400244e-9	2.1871781757338047	0.589	0.16	1.1464844031950375e-4	Cmtm8
6.035101560827542e-9	-0.8980422605327383	0.006	0.22	1.1658005685050562e-4	Vash2
6.133213804942825e-9	1.2928257100425264	0.827	0.42	1.1847529107008055e-4	Neurl1a
6.245620273350843e-9	2.9022066296176443	0.583	0.14	1.2064664682031824e-4	Car8
6.7290821440793025e-9	2.1034123936622566	0.655	0.26	1.2998567977717988e-4	Phactr2
6.979251335409437e-9	1.2937117157114562	0.899	0.6	1.348181980461041e-4	Smpd3
7.2346463740289265e-9	-1.1995630499260836	0.292	0.74	1.3975166400711678e-4	Hip1
7.3174255665956744e-9	-0.9666546474369002	0.006	0.22	1.4135070966992864e-4	Apc2
7.3174255665956744e-9	-1.1030910339266464	0.006	0.22	1.4135070966992864e-4	Rab33a
7.483989029891574e-9	2.6554445859818054	0.494	0.04	1.4456821609041553e-4	B3gat2
7.581806844202311e-9	1.6885592636312288	0.726	0.32	1.4645776280945605e-4	Epb41l5
7.589209114549903e-9	-0.9454478922186962	0.768	0.96	1.4660075246576048e-4	Orc2
7.777944866786377e-9	-1.0608843380218103	0.018	0.26	1.5024656099171243e-4	Nckap5l
8.082227160987273e-9	2.1303206632297718	0.625	0.2	1.5612438206879115e-4	1810034E14Rik
8.405789539001745e-9	-1.5295041004660257	0.262	0.64	1.623746365248967e-4	Lgr5
8.505611934600489e-9	-0.838186553770232	0.762	0.98	1.6430290574067765e-4	Npc2
8.5822382476534e-9	-1.5548281293167132	0.161	0.54	1.6578309622992073e-4	Epb41l1
8.658155378397621e-9	2.3262693466697706	0.458	0	1.6724958744450684e-4	Scnn1a
8.892436404425161e-9	-1.147837859874464	0.018	0.26	1.7177519402428084e-4	Shisa8
9.166349799287303e-9	1.1345940534639551	0.887	0.74	1.7706637907283283e-4	Mpst
9.546366392549077e-9	-0.6669354908982448	0.911	1	1.8440715960487054e-4	Khdrbs1
9.674563864373214e-9	-1.4621755260242841	0.131	0.5	1.8688355016809738e-4	Trib2
9.953035528649273e-9	1.4049139252664584	0.798	0.56	1.92262787306918e-4	Dock9
9.972956793969493e-9	-0.8008874031294475	0.012	0.24	1.926476063891087e-4	Zfp286
1.0504454586071673e-8	0.809573307677857	0.982	0.96	2.0291454923914652e-4	Cnot6l
1.08604950001118e-8	-1.1116664258494304	0.018	0.26	2.0979218191715965e-4	Nsg2
1.0950907712033379e-8	-1.1186471201731762	0.393	0.8	2.1153868427334878e-4	Frmd4a
1.1227261859699401e-8	-1.2973467763292914	0.018	0.26	2.1687701734381332e-4	Slc24a2
1.1767083147435745e-8	2.711711865312114	0.452	0	2.2730474515901628e-4	Ces1d
1.2074173681391155e-8	1.0597352911333393	0.881	0.72	2.3323681300343294e-4	Fam173a
1.2425808049663393e-8	-1.7938201917380308	0.101	0.44	2.4002933409534777e-4	Dach1
1.2686907413800256e-8	2.0887884567732375	0.571	0.1	2.4507299051237957e-4	Cbfa2t3
1.3382546230882046e-8	1.1779712371526527	0.899	0.78	2.585106455419485e-4	Tmed3
1.347847502396102e-8	1.7124381227452283	0.69	0.28	2.60363702037855e-4	Kcnc1
1.3759557290231619e-8	-1.2204584504725555	0.173	0.56	2.657933681754042e-4	Wwc2
1.4083430790214034e-8	1.6498378747035605	0.839	0.54	2.720496325745645e-4	Igfbp5
1.4174818381305001e-8	-0.4620839379807262	0.988	1	2.738149666716687e-4	Hnrnpa0
1.5950500652251545e-8	3.2779266269605003	0.446	0	3.081158210995431e-4	Pde11a
1.6464327736749293e-8	-1.2283961241345713	0.435	0.82	3.180414188907861e-4	1500004A13Rik
1.651333454912852e-8	-0.8967411861432442	0.744	0.96	3.189880834855156e-4	Prps1
1.6567542552343193e-8	1.9669414300921768	0.655	0.3	3.2003521948361345e-4	Jup
1.6675980518077727e-8	1.0145398182910468	0.952	0.98	3.2212991566770745e-4	Cadm1
1.669435985310824e-8	-0.5650690604104918	0.982	1	3.2248494928249186e-4	Bzw2
1.745293541801576e-8	0.800432631449749	0.988	0.96	3.371383534698104e-4	1810037I17Rik
1.797611925900464e-8	-0.6654763942358151	0.97	1	3.472446957261926e-4	Tuba1b
1.7988500184920298e-8	1.3212863541171453	0.899	0.62	3.474838580721054e-4	Rgs7
2.0758231961007848e-8	-0.9707815888538995	0.714	0.96	4.009867667907886e-4	Lrrfip2
2.0842742064106736e-8	-0.5592686784001115	0.994	1	4.0261924845234984e-4	Hnrnpd
2.085688580136356e-8	-1.4875309625564088	0.119	0.48	4.028924630249399e-4	Gng3
2.135638557620174e-8	-2.1752633333519777	0.208	0.58	4.12541300175489e-4	Wif1
2.157912055530429e-8	-1.1380482982616864	0.393	0.84	4.16843871766813e-4	Fam89b
2.168332579560873e-8	-0.9609459175610335	0	0.18	4.1885680439377387e-4	Nog
2.168332579560873e-8	-0.8479874012746684	0	0.18	4.1885680439377387e-4	Iqgap2
2.168332579560873e-8	-0.7951621408830802	0	0.18	4.1885680439377387e-4	Foxd1
2.168332579560873e-8	-1.0043888355063224	0	0.18	4.1885680439377387e-4	Cntfr
2.168332579560873e-8	-0.9311227836665914	0	0.18	4.1885680439377387e-4	Cnr1
2.168332579560873e-8	-0.753679444168756	0	0.18	4.1885680439377387e-4	Tmem35a
2.2032918557131636e-8	-0.8040533730994925	0.923	1	4.256098877681118e-4	Cd63
2.3569178197928265e-8	-1.1574117329217517	0.571	0.88	4.552858152493803e-4	Cep170
2.4283748324202473e-8	0.9050638686096247	0.929	0.88	4.6908916637861917e-4	Atp6v1b2
2.4392800001215103e-8	2.185380465812398	0.488	0.04	4.7119571762347214e-4	Pls1
2.443870603318593e-8	-0.8501354205710276	0.929	1	4.7208248444305265e-4	Mrto4
2.461870277171272e-8	0.8453383473108753	0.994	0.78	4.7555948144117465e-4	Cplx2
2.5102624835542776e-8	-0.8998294624014311	0.911	1	4.849074039481798e-4	Marcks
2.6062580282112087e-8	-1.6568687765092565	0.071	0.38	5.034508633095592e-4	Gria3
2.6346769553774914e-8	0.9875638916916765	0.976	0.92	5.0894054747027e-4	Carmil1
2.6860248300539436e-8	-1.0662781996491546	0.173	0.58	5.188594164215203e-4	Fam171a2
2.689489309439341e-8	-0.9231217040843726	0.726	0.96	5.195286499043976e-4	Rhobtb3
2.7120511113845336e-8	-1.1049273075858776	0.952	0.98	5.238869131861504e-4	Map1b
2.7548082993865804e-8	-0.7682053010096201	0.976	1	5.321463191925057e-4	Rock2
2.7645745342318267e-8	-0.7751990582501735	0.786	0.96	5.34032862777562e-4	Golim4
2.7994334739827712e-8	1.901486647249551	0.649	0.28	5.407665641692519e-4	Pkp2
2.908134811977672e-8	2.1939881004299417	0.435	0	5.61764401629727e-4	Ovol1
3.183337114082879e-8	-1.3478980623973267	0.726	0.92	6.149252303273898e-4	Pcsk1n
3.194493574238309e-8	-1.467771596198015	0.268	0.62	6.17080323735614e-4	Rnf165
3.307176136367689e-8	1.1162563473701785	0.875	0.72	6.388472142621465e-4	Man2a1
3.3289473961380506e-8	-1.1104329360258838	0.125	0.48	6.430527685119872e-4	Ccdc32
3.371974165062129e-8	2.0534404310310723	0.464	0.02	6.513642494650514e-4	Dapp1
3.379782819649685e-8	-2.36399437652034	0.095	0.42	6.528726472717296e-4	Opcml
3.395632732675729e-8	-1.0151847030954655	0.155	0.54	6.559343749709706e-4	Poglut2
3.466423584870393e-8	-1.3866991926698655	0.143	0.52	6.696090438894137e-4	Nrp1
3.5724984896921426e-8	1.9042089193513108	0.458	0.02	6.900995332538312e-4	Fam83b
3.6900057612111563e-8	-1.1505504336750894	0.03	0.28	7.127984128931591e-4	Mecom
3.8418462989741305e-8	-1.083170034582758	0.006	0.2	7.421294495728327e-4	March11
3.8418462989741305e-8	-1.0021308945026113	0.006	0.2	7.421294495728327e-4	Car14
3.844246647282067e-8	2.045251755280973	0.69	0.24	7.425931248554769e-4	Serpinb12
3.849025486685243e-8	0.9456900692382019	0.976	0.96	7.435162532629884e-4	Mast4
3.869558832763311e-8	1.2123590486303102	0.863	0.66	7.474826797248888e-4	Twf2
3.892021742913962e-8	-1.0424861723359373	0.036	0.3	7.5182184007869e-4	Smarcd3
3.911746612037883e-8	1.9982652267292724	0.429	0	7.556320930473578e-4	Esrp2
3.9879930161871935e-8	2.3840608455819523	0.482	0.04	7.703606109368802e-4	Kcnn3
4.0529721249611755e-8	2.190933781943862	0.464	0.04	7.829126253787503e-4	Slc37a1
4.1860167447293876e-8	2.48910713892617	0.482	0.06	8.086128545793758e-4	Ngf
4.331486759732045e-8	-1.1026305446058822	0.113	0.46	8.367132973774391e-4	D430019H16Rik
4.335443199262915e-8	-1.0248296116766873	0.607	0.92	8.374775628016173e-4	Cdh2
4.546225864116596e-8	-1.5443725892136198	0.482	0.84	8.781944501714029e-4	Hivep2
4.602761306567588e-8	0.9152565466177375	0.964	0.9	8.891154015896609e-4	Pnrc1
4.6170700454677625e-8	0.8719090539798827	0.94	0.88	8.918794206830077e-4	Mettl26
4.617213917772476e-8	-1.3117691680300658	0.667	0.92	8.919072124961091e-4	Dpp6
4.830001622233184e-8	-1.353148661568842	0.024	0.26	9.330114133667842e-4	Rasl11a
4.871819198474118e-8	1.7347266580730163	0.554	0.14	9.410893145692453e-4	2310030G06Rik
4.912244514124895e-8	-1.3347614962245673	0.012	0.22	9.48898272793506e-4	Cdh9
4.988648879606976e-8	1.870087928168875	0.542	0.12	9.636573040736796e-4	Elovl7
5.074831358602607e-8	1.859647031444949	0.619	0.26	9.803051735412655e-4	Dmpk
5.091951730100191e-8	-1.0997567605858665	0.774	0.98	9.836123157034539e-4	Ncam1
5.097069707467338e-8	2.1278535760545965	0.47	0.04	9.846009553914656e-4	Macc1
5.170641101045568e-8	-1.3249049511880262	0.167	0.54	9.988127414889724e-4	Lrch2
5.24845973061446e-8	1.9484178290250138	0.423	0	0.0010138449661627952	Misp
5.24845973061446e-8	2.439963403416195	0.423	0	0.0010138449661627952	Ehf
5.24845973061446e-8	2.3010183540404188	0.423	0	0.0010138449661627952	Bcas1
5.3173356769847834e-8	-1.0751770912390999	0.869	1	0.0010271497327231506	Lrrc59
5.350236831386859e-8	-1.1369277324595113	0.018	0.24	0.0010335052487189995	Icam1
5.609506974638843e-8	-0.7487351025611115	0.036	0.3	0.0010835884622909854	St6gal1
5.640769799130232e-8	1.5438953400285782	0.821	0.56	0.001089627502097987	Abracl
5.659846276775501e-8	1.9593406218748113	0.494	0.06	0.0010933125052847235	Tor3a
5.794907976426868e-8	1.0400123228009246	0.899	0.56	0.001119402373806378	Shtn1
5.795895776379228e-8	0.7582892063850525	0.964	0.94	0.0011195931871231754	Cltb
5.849465004545749e-8	1.4502900952928286	0.75	0.46	0.0011299411549281022	Rasef
5.906598012674303e-8	1.7253786062940095	0.702	0.36	0.0011409775381082952	Phyh
5.955110707564837e-8	-1.0381039687958706	0.149	0.52	0.0011503487353802997	Iffo2
5.993825882257698e-8	-1.4917938687826666	0.095	0.42	0.0011578273456757193	2610316D01Rik
6.072876366023587e-8	-1.1730245760606839	0.208	0.6	0.0011730975276247765	Cep85l
6.0858297785973e-8	-1.8078076395166423	0.06	0.34	0.0011755997383316404	Fst
6.097707972031129e-8	0.8028794143925015	0.976	0.96	0.0011778942489572531	Taldo1
6.179477222305036e-8	1.0481528243200948	0.875	0.58	0.0011936896150326639	Eps8
6.224963888510723e-8	0.9546915822351552	1	0.82	0.0012024762743436162	Pex5l
6.267750365756568e-8	-1.018710586370008	0.44	0.86	0.0012107413381531962	Fads1
6.365196204870286e-8	-0.6485991215672904	0.97	1	0.001229564950894793	Eif5
6.48807131853634e-8	1.7326809584832155	0.696	0.32	0.0012533007366016646	Man1a
6.492636668305878e-8	-0.7825679793439071	0.012	0.22	0.0012541826252166464	Fgl2
6.538812668042838e-8	1.157069070905211	0.821	0.66	0.001263102443085835	Golga1
